start,end
51,44
51,45
51,52
51,53
51,55
51,72
51,79
51,81
51,86
51,90
51,91
51,92
51,99
52,1
52,11
52,17
52,38
52,39
52,45
52,48
52,49
52,52
52,56
52,61
52,80
52,86
52,91
52,92
52,97
52,99
53,45
53,52
54,1
54,6
54,11
54,14
54,16
54,34
54,38
54,39
54,45
54,48
54,49
54,53
54,72
54,86
54,91
54,92
54,96
54,99
55,1
55,6
55,10
55,14
55,24
55,38
55,45
55,46
55,48
55,49
55,53
55,55
55,61
55,86
55,90
55,91
55,92
55,95
55,96
56,6
56,7
56,14
56,17
56,24
56,44
56,45
56,48
56,49
56,52
56,56
56,58
56,62
56,72
56,73
56,78
56,91
56,92
57,6
57,18
57,24
57,39
57,44
57,45
57,48
57,49
57,52
57,58
57,73
57,79
57,84
57,86
57,91
57,92
57,99
58,2
58,6
58,10
58,14
58,17
58,20
58,38
58,44
58,45
58,49
58,52
58,53
58,72
58,73
58,74
58,86
58,92
58,95
58,99
59,10
59,45
60,5
60,6
60,10
60,14
60,16
60,24
60,38
60,39
60,45
60,49
60,52
60,53
60,58
60,73
60,74
60,79
60,86
60,91
60,96
61,45
62,1
62,6
62,10
62,14
62,16
62,19
62,20
62,24
62,39
62,44
62,53
62,55
62,56
62,72
62,73
62,86
62,87
62,91
62,98
63,45
63,52
63,53
64,1
64,5
64,14
64,16
64,19
64,38
64,39
64,45
64,48
64,53
64,55
64,56
64,76
64,79
64,86
64,91
64,99
65,1
65,6
65,14
65,17
65,19
65,24
65,44
65,45
65,52
65,53
65,56
65,64
65,70
65,72
65,73
65,91
66,10
66,16
66,18
66,20
66,39
66,44
66,48
66,53
66,58
66,73
66,80
66,86
66,91
66,94
66,97
66,98
66,99
67,10
68,1
68,5
68,6
68,10
68,14
68,16
68,20
68,38
68,48
68,53
68,55
68,57
68,61
68,63
68,73
68,74
68,79
68,80
68,86
68,92
69,10
69,11
69,45
69,49
69,52
69,53
69,55
69,56
69,58
69,61
69,66
69,73
69,76
69,79
69,86
69,95
69,97
69,98
69,99
70,1
70,2
70,6
70,10
70,14
70,17
70,24
70,36
70,38
70,39
70,44
70,45
70,48
70,49
70,53
70,55
70,61
70,70
70,72
70,74
70,81
70,92
71,1
71,6
71,10
71,16
71,17
71,18
71,20
71,38
71,44
71,48
71,53
71,56
71,58
71,64
71,72
71,73
71,86
71,92
71,98
72,14
72,24
72,38
72,45
72,48
72,52
72,53
72,56
72,58
72,62
72,63
72,72
72,73
72,79
72,81
72,86
72,91
72,92
73,5
73,7
73,10
73,14
73,16
73,18
73,19
73,38
73,44
73,45
73,48
73,53
73,55
